Category	Base Text	Name	URL	Formats	Description	Ratings (1-5)	Reviews
Critical Edition	Greek New Testament	Nestle 1904	https://sites.google.com/site/nestle1904/downloads	PDF, ODT	Text of the Nestle 1904 Greek New Testament posted by Diego Santos.		
Critical Edition	Greek New Testament	Nestle 1904	https://github.com/biblicalhumanities/Nestle1904	XML	Text of the Nestle 1904 Greek New Testament posted by Diego Santos. Clean XML markup.		
Critical Edition	Greek New Testament	SBLGNT	http://sblgnt.com/	XML, OSIS, text, PDF	High quality critical text created by Logos Software and the Society of Biblical Literature. Note the license, which imposes conditions on downstream works that use it.		
Critical Edition	Greek New Testament	Robinson-Pierpoint Byzantine text	https://github.com/byztxt/ 	text	Robinson-Pierpont edition of the Greek New Testament in the Original Greek, Byzantine Majority Text.		
Critical Edition	Greek New Testament	Bunning Heuristic Prototype (BHP)	https://greekcntr.org/downloads/	TSV	The BHP uses a reasoned eclecticism method to approximate the results of a computer-generated algorithm which weighs earliness and reliability of witnesses based solely on the CNTR collation of every known extant Greek manuscript containing portions of the New Testament up to year 400 AD		
Manuscript Transcriptions	Greek New Testament, Septuagint	Codex Sinaiticus	http://www.codexsinaiticus.org/en/project/transcription_download.aspx	XML	TEI transcription of Codex Sinaiticus.		
Critical Edition	Septuagint	Swete's Septuagint	https://github.com/OpenGreekAndLatin/septuagint-dev	XML	Machine-corrected OCR scan of Swete's Septuagint.		
Critical Edition	Church Fathers	Migne’s Patrologia Graeca	https://github.com/OGL-PatrologiaGraecaDev	XML	Massive collection of Church Fathers. See description on Wikipedia (https://en.wikipedia.org/wiki/Patrologia_Graeca).		
Quotations	Church Fathers	Cramer’s Catenae	https://github.com/OpenGreekAndLatin/catenae-dev	XML	For each verse, lists any comments that the early Fathers made on that verse.		
Various	Various	Sefaria	https://github.com/Sefaria/Sefaria-Export	JSON	Midrash, Targums, Talmud, Kabbalah, a lexicon, and a Hebrew grammar.		
Manuscript Transcriptions	Greek New Testament	CNTR Transcriptions	https://greekcntr.org/downloads/index.htm	XML, TEI	Transcriptions of all New Testament texts (class 1 data) up to the terminus ad quem of 400 AD.		
Conjectural Emendations	Greek New Testament	Amsterdam Database of New Testament Conjectural Emendation	http://ntvmr.uni-muenster.de/nt-conjectures-attribution  https://ntvmr.uni-muenster.de/community/vmr/api/projects/ntconjectures/admin/sql/scripts/	CSV	New Testament conjectures, which affect textual criticism.		
Morphology	Greek New Testament	Nestle 1904 Greek New Testament	https://github.com/biblicalhumanities/Nestle1904	CSV	Nestle 1904 Morphology.		
Morphology	Greek New Testament	SBLGNT Greek New Testament	https://github.com/morphgnt/sblgnt	TSV	SBLGNT, done by MorphGNT, the first initiative to produce truly open high quality morphologies for the Greek New Testament.		
Morphology	Greek New Testament	Westcott-Hort 	http://scrolltag.com/westcott_and_hort.html	text	 Westcott-Hort with morphology, as edited by Joshua Grauman.		
Morphology	Greek New Testament	Tischendorff Greek New Testament	https://github.com/morphgnt/tischendorf	TSV	Tischendorff morphology, done by MorphGNT.		
Morphology	Greek New Testament	Bunning Heuristic Prototype (BHP)	https://greekcntr.org/downloads/index.htm	XML	Bunning Heuristic Prototype, generated from early manuscripts algorithmically. 		
Morphology	Septuagint	Rahlf’s Septuagint	http://unbound.biola.edu/ http://ccat.sas.upenn.edu/gopher/text/religion/biblical/lxxmorph/	TSV	Rahlf's Septuagint with morphology.  Note: not freely licensed.		
Morphology	Septuagint	Swete’s Septuagint	https://github.com/OpenGreekAndLatin/septuagint-dev	XML, TEI	An openly licensed morphologically tagged Swete’s Septuagint		
Morphology, Treebank	New Testament, Old Testament, Apocrypha, Various	Coptic Scriptorium	https://github.com/CopticScriptorium/corpora	Various (PAULA, ANNIS in ZIP files)	A corpus of Coptic texts.		
Morphology, Treebank	Hebrew Old Testament	Shebanq	https://shebanq.ancient-data.org/sources	SQL	Morphology and treebank for biblical Hebrew		
Treebank	Greek New Testament	Nestle 1904 Greek New Testament (GBI)	https://github.com/biblicalhumanities/greek-new-testament/tree/master/syntax-trees/nestle1904	XML	High quality treebank using HPSG constituent grammar.  Global Bible Initiative trees.	 	 
Treebank	Greek New Testament	Nestle 1904 Greek New Testament (Lowfat)	https://github.com/biblicalhumanities/greek-new-testament/tree/master/syntax-trees/nestle1904-lowfat	XML	Lowfat trees - a simpler and expressive format transformed from GBI trees to make them easier to query.		
Treebank	Greek New Testament	SBLGNT Greek New Testament (GBI)	https://github.com/biblicalhumanities/greek-new-testament/tree/master/syntax-trees/sblgnt	XML	High quality treebank using HPSG constituent grammar.  Global Bible Initiative trees.		
Treebank	Greek New Testament	SBLGNT Greek New Testament (Lowfat)	https://github.com/biblicalhumanities/greek-new-testament/tree/master/syntax-trees/sblgnt-lowfat	XML	Lowfat trees - a simpler and expressive format transformed from GBI trees to make them easier to query.		
Treebank	Greek New Testament	PROIEL	https://github.com/proiel/proiel-treebank	CONLL	High quality dependency trees in an eclectic and expressive format. Part of a parallel corpus of old Indo-European Bible translations, including Greek, Armenian, Gothic, Old Church Slavonic, and Latin.		
Discourse Analysis	Greek New Testament	Levinsohn’s Greek New Testament Discourse Features	https://github.com/biblicalhumanities/levinsohn	XML	Stephen Levinsohn’s complete discourse features markup of the Greek New Testament (UBS4/NA27). Released by SIL International and Paul O’Rear, and recognized as the 2016 Dataset of the Year.		
Lexicon	Greek New Testament	Abbott-Smith	https://github.com/translatable-exegetical-tools/Abbott-Smith	XML, TEI	Probably the best traditional lexicon in the public domain.		
Lexicon	Greek New Testament	Dodson	https://github.com/biblicalhumanities/Dodson-Greek-Lexicon	CSV, XML	This lexicon has simple glosses and short definitions. Originally developed by Jeffrey Dodson, released to the public domain.		
Lexicon	Classical Greek	Liddell-Scott-Jones	https://github.com/PerseusDL/lexica	XML, TEI	The Great Scott, a massive and extremely useful lexicon. This is the version currently used on Perseus, converted to Unicode.		
Lexicon	Greek New Testament	Mounce's Lexicon	https://github.com/billmounce/dictionary	JSON	Mounce’s Concise Greek-English Dictionary of Biblical Greek.		
Lexicon	Hebrew Old Testament	Shebanq Lexicon	https://shebanq.ancient-data.org/sources	SQL	A Hebrew lexicon from the Shebanq project.		
Lexicon	Greek New Testament 	Strong's Lexicon	https://github.com/openscriptures/strongs	XML	One of the most commonly used lexicons, keyed to Strong’s Numbers for easy cross reference. Greek and Hebrew.		
Lexicon	Hebrew Old Testament	Strong's Lexicon	https://github.com/openscriptures/strongs	XML	One of the most commonly used lexicons, keyed to Strong’s Numbers for easy cross reference. Greek and Hebrew.		
Grammar	Classical Greek	Jeffrey A. Rydberg-Cox: Overview of Greek Syntax	http://www.perseus.tufts.edu/hopper/dltext?doc=Perseus%3Atext%3A1999.04.0052	XML, TEI	Extremely useful summaries of Greek syntax, easily integrated into a reading environment.		
Grammar	Classical Greek	Ancient Greek Tutorials, by Donald J. Mastronarde	http://ucbclassics.dreamhosters.com/ancgreek/AGTdownload.zip	HTML, PDF	Ancient Greek Tutorials, by Donald J. Mastronarde with the assistance of the Berkeley Language Center of the University of California, Berkeley. ©1999-2005 The Regents of the University of California. Copyright prevents free distribution, but this can be useful for producing resources.		
Grammar	Hebrew Old Testament	Gesenius	https://en.wikisource.org/wiki/Gesenius'_Hebrew_Grammar	Wiki	The old classic Hebrew Grammar		
Commentaries, Lexicons	Greek New Testament	Lace	http://heml.mta.ca/lace/catalog	hOCR	Contains a massive number of Greek texts in hOCR format, including several scholarly commentaries on the Greek text of each New Testament book, Septuagint resources, Cramer’s Catenae, Migne, the Sophocles lexicon, and many other resources that are just begging for the community to adopt and do manual editing.		
Commentaries, Lexicons	Greek New Testament, Hebrew Old Testament	Bible Support	http://www.biblesupport.com/e-sword-downloads/	eSword modules	Contains some very useful commentaries and dictionaries.		